Date,Channel,Campaign,Impressions,Clicks,Conversions,Cost,Revenue
4/13/2024,Google Ads,Retargeting,29707,5365,432.0,1387.14,28465.38
5/11/2024,Email,Spring Sale,46185,2088,299.0,4856.51,9973.01
3/24/2024,Google Ads,Product Launch,1830,172,17.0,2579.6,1666.59
4/4/2024,Facebook,Spring Sale,2928,272,38.0,3785.24,637.47
2/25/2024,Facebook,Product Launch,17030,1083,183.0,154.97,4931.02
2/6/2024,Facebook,Brand Awareness,27356,3068,879.0,3902.29,28388.36
4/18/2024,LinkedIn,Spring Sale,27567,3659,288.0,165.25,5578.44
1/29/2024,Instagram,Retargeting,38144,4274,992.0,1646.19,10834.2
3/26/2024,Instagram,Retargeting,32179,4181,517.0,1032.09,15254.79
5/21/2024,Facebook,Spring Sale,6940,623,81.0,1763.4,1943.87
1/4/2024,Email,Brand Awareness,1247,174,27.0,4679.85,528.81
4/10/2024,Google Ads,Holiday Promo,15161,1315,141.0,793.74,12713.87
2/12/2024,LinkedIn,Holiday Promo,24924,2510,229.0,2329.81,10090.68
1/12/2024,Email,Spring Sale,18867,2559,516.0,1833.03,34794.11
5/29/2024,Instagram,Product Launch,20470,1972,227.0,4883.86,21903.23
5/4/2024,Instagram,Product Launch,33562,6017,1084.0,979.37,14825.04
4/26/2024,Facebook,Retargeting,33030,6304,731.0,2290.95,56716.37
3/15/2024,Email,Product Launch,34142,957,186.0,2710.01,12195.17
5/7/2024,Google Ads,Product Launch,2886,551,86.0,1684.27,8497.6
5/9/2024,Email,Spring Sale,38307,5819,491.0,4122.96,17566.76
4/29/2024,Facebook,Product Launch,18538,565,111.0,3335.61,3933.77
5/3/2024,Facebook,Brand Awareness,16424,685,40.0,470.8,2368.48
4/29/2024,Instagram,Product Launch,8635,1323,336.0,1014.81,10974.25
1/22/2024,LinkedIn,Spring Sale,6059,664,100.0,3653.45,1496.14
5/7/2024,LinkedIn,Retargeting,42043,4677,1216.0,1984.63,33658.69
2/27/2024,Facebook,Spring Sale,39696,5407,687.0,442.84,12208.2
1/9/2024,Email,Product Launch,22255,4106,1150.0,1393.01,30738.01
4/29/2024,LinkedIn,Product Launch,36461,6960,1937.0,1812.3,34594.01
5/21/2024,Instagram,Product Launch,35635,5365,672.0,4034.04,34465.76
4/4/2024,LinkedIn,Holiday Promo,18479,304,16.0,4067.7,806.04
3/22/2024,Instagram,Holiday Promo,21042,2283,656.0,1151.26,60803.57
3/7/2024,Instagram,Spring Sale,8653,137,13.0,4653.94,436.31
5/4/2024,LinkedIn,Spring Sale,43455,7932,840.0,3741.38,81965.76
1/4/2024,Google Ads,Holiday Promo,40059,3123,273.0,3718.82,3152.13
1/2/2024,Instagram,Brand Awareness,27715,1470,131.0,3240.6,11893.23
4/12/2024,Instagram,Product Launch,22576,2287,665.0,918.82,65796.59
4/20/2024,Google Ads,Spring Sale,44103,7680,900.0,2079.88,56061.2
5/8/2024,LinkedIn,Holiday Promo,27556,1365,374.0,273.09,23056.32
1/23/2024,Google Ads,Spring Sale,5253,334,65.0,3555.1,4317.7
3/17/2024,Google Ads,Brand Awareness,32757,877,84.0,317.69,1783.96
4/24/2024,Facebook,Spring Sale,41826,1047,57.0,4947.61,4504.36
1/8/2024,Google Ads,Spring Sale,7764,1152,81.0,435.53,5881.8
1/13/2024,Email,Holiday Promo,7317,1161,273.0,2027.9,14926.32
3/29/2024,Facebook,Holiday Promo,1573,180,36.0,2558.89,552.11
1/27/2024,Google Ads,Holiday Promo,47321,6582,423.0,4275.27,6036.56
5/22/2024,Google Ads,Spring Sale,35052,1405,181.0,1762.8,9807.87
4/13/2024,Email,Holiday Promo,38401,4828,1207.0,1842.41,20891.12
1/16/2024,Facebook,Product Launch,12126,1787,285.0,3416.62,20818.87
3/4/2024,Email,Brand Awareness,23428,3116,466.0,2970.06,40204.48
3/17/2024,Facebook,Spring Sale,41827,1762,282.0,1183.25,12097.69
5/29/2024,Instagram,Product Launch,46464,1672,381.0,3492.72,34817.98
5/27/2024,Email,Holiday Promo,48621,3965,428.0,2778.65,27236.52
4/22/2024,Instagram,Brand Awareness,18586,2875,623.0,2617.5,56596.94
5/21/2024,Email,Brand Awareness,28218,4295,1000.0,1968.9,17509.31
1/17/2024,Facebook,Holiday Promo,26541,3289,265.0,1065.92,22767.83
